power_based,Time,relative_time,elevation,speed,acceleration,distance
-0.35,175550,0,214.03,0,0,0
-60.42498,175554,4,214.51,26.794508,0.397845,26.794508
-19.08698,175555,5,214.51,26.926037,0.131529,26.926037
-18.89531,175556,6,214.51,27.030925,0.104888,27.030925
-20.25451,175557,7,214.51,27.2038,0.172875,27.2038
-19.84312,175558,8,214.51,27.332289,0.128489,27.332289
-20.17657,175559,9,214.51,27.465273,0.132984,27.465273
-18.7776,175600,10,214.51,27.501315,0.036042,27.501315
-19.6022,175601,11,214.51,27.58126,0.079945,27.58126
-19.21192,175602,12,214.51,27.629345,0.048085,27.629345
-18.17488,175603,13,214.51,27.611657,-0.017688,27.611657
-16.25827,175604,14,214.51,27.483839,-0.127818,27.483839
-14.37126,175605,15,214.51,27.258329,-0.22551,27.258329
-16.73366,175606,16,214.51,27.197462,-0.060867,27.197462
-18.52454,175607,17,214.99,27.095337,-0.102125,27.091085
-16.55466,175608,18,215.47,26.886267,-0.20907,26.881982
-17.71818,175609,19,215.95,26.769825,-0.116442,26.765521
-15.95773,175610,20,216.43,26.559107,-0.210718,26.554769
-15.75653,175611,21,216.91,26.358397,-0.20071,26.354027
-14.62117,175612,22,217.4,26.10524,-0.253157,26.100641
-15.57415,175613,23,218.36,25.778361,-0.326879,25.760479
-13.28795,175614,24,218.84,25.504672,-0.273689,25.500155
-19.72415,175615,25,219.8,25.489401,-0.015271,25.471316
-18.76152,175616,26,220.76,25.429201,-0.0602,25.411074
-15.33133,175617,27,221.24,25.32259,-0.106611,25.318041
-24.23493,175618,28,222.2,25.404354,0.081764,25.386209
-17.31926,175619,29,222.68,25.426806,0.022452,25.422275
-16.18148,175620,30,223.16,25.374583,-0.052223,25.370042
-27.00704,175621,31,224.12,25.512728,0.138145,25.49466
-17.02423,175622,32,224.61,25.50098,-0.011748,25.496272
-18.74882,175623,33,225.09,25.602466,0.101486,25.597966
-16.14133,175624,34,225.57,25.528439,-0.074027,25.523926
-17.01177,175625,35,226.05,25.517548,-0.010891,25.513033
-15.81766,175626,36,226.05,25.596263,0.078715,25.596263
-14.45318,175627,37,226.05,25.580362,-0.015901,25.580362
-17.23002,175628,38,226.05,25.74007,0.159708,25.74007
-19.50819,175629,39,226.05,26.021502,0.281432,26.021502
-18.82438,175630,40,226.05,26.227605,0.206103,26.227605
-14.29287,175631,41,225.57,26.291887,0.064282,26.287505
-14.32015,175632,42,225.09,26.350521,0.058634,26.346149
-14.93291,175633,43,224.61,26.439719,0.089198,26.435362
-13.52337,175634,44,224.12,26.436446,-0.003273,26.431905
-13.51301,175635,45,223.16,26.586955,0.150509,26.569618
-13.40416,175636,46,222.68,26.556734,-0.030221,26.552396
-14.01994,175637,47,222.2,26.567214,0.01048,26.562877
-12.24795,175638,48,221.72,26.468886,-0.098328,26.464533
-7.49155,175639,49,221.24,26.087241,-0.381645,26.082825
-9.11748,175640,50,220.76,25.846484,-0.240757,25.842026
-10.64135,175641,51,220.76,25.562697,-0.283787,25.562697
-8.27082,175642,52,220.76,25.15497,-0.407727,25.15497
-2.86637,175643,53,220.28,24.601126,-0.553844,24.596443
-5.74472,175644,54,220.28,24.117664,-0.483462,24.117664
-3.86116,175645,55,220.28,23.548457,-0.569207,23.548457
-1.99338,175646,56,220.28,22.895996,-0.652461,22.895996
0.42509,175647,57,220.28,22.118115,-0.777881,22.118115
